restaurant_id,restaurant_name,slug,device_uuid,qr_filename
784,"Colonnade Pizza",colonnade-pizza-784,4e106e76-5a46-4c9c-9f30-bd793f7ba8fb,Colonnade_Pizza_784.png
785,"Colonnade Pizza",colonnade-pizza-785,b1bf6115-12be-4fa1-8a07-6dffa511ff4d,Colonnade_Pizza_785.png
789,"Poutinerie Quï¿½becurds Hull",poutinerie-qubecurds-hull-789,37546ee1-33d7-4693-8d88-6a6523f44209,Poutinerie_Qubecurds_Hull_789.png
790,"Nachos Loco Hull",nachos-loco-hull-790,9fc62a20-4aed-4b35-9eb4-f30d1a4052ec,Nachos_Loco_Hull_790.png
792,"Dumpling Bowl",dumpling-bowl-792,562139c9-7ada-4d3c-8fbd-7be23f7a07a0,Dumpling_Bowl_792.png
795,"Papa Pizza Chem. de Masson",papa-pizza-chem-de-masson-795,06ba7d1a-3298-4d72-b1d3-223472c81d7d,Papa_Pizza_Chem_de_Masson_795.png
797,"Papa Burger",papa-burger-797,48336ef9-4146-49ec-9112-15a8e213a2a0,Papa_Burger_797.png
798,"Kabylie Pizza",kabylie-pizza-798,06856059-defd-4360-b18f-e330c4e249a8,Kabylie_Pizza_798.png
801,"Nachos Loco Gatineau",nachos-loco-gatineau-801,3a8498a1-e45c-42be-bf1f-1c18e50be9eb,Nachos_Loco_Gatineau_801.png
806,"Crispy's Bank Street",crispys-bank-street-806,3513b90e-a6e7-4311-9e83-03f16a663229,Crispys_Bank_Street_806.png
807,"Oh My Grill",oh-my-grill-807,dd95a4d1-9cf2-470e-9db3-b988b5924f29,Oh_My_Grill_807.png
810,"Papa Grecque Cantley",papa-grecque-cantley-810,2ec7b948-ecdf-4805-9aaa-259bf746d269,Papa_Grecque_Cantley_810.png
815,"Golden Center Pizza",golden-center-pizza-815,29523cbf-c409-4d56-a197-88a26f84c1c6,Golden_Center_Pizza_815.png
816,"Dï¿½panneur Gï¿½nï¿½reux",dpanneur-gnreux-816,0910d86d-6363-40c1-b22e-9f9c45cfbfec,Dpanneur_Gnreux_816.png
818,"Milano",milano-818,26f7e816-13cd-43dc-a7bb-932616c86413,Milano_818.png
819,"Milano",milano-819,3a3ef821-ad25-4fc0-aa57-5c220af08795,Milano_819.png
820,"Vieux Hull Pizza",vieux-hull-pizza-820,fe836711-94df-4555-b05b-e37e53046e39,Vieux_Hull_Pizza_820.png
821,"Milano",milano-821,e0f4ac60-f8dc-49a2-b6f8-2cf24b90980c,Milano_821.png
822,"Papa Burger Maloney",papa-burger-maloney-822,3468d483-7344-4c67-a868-696bb280a8e7,Papa_Burger_Maloney_822.png
824,"Prima Pizza",prima-pizza-824,410b3d2d-b0bd-4853-97a1-e27fc41f2aaf,Prima_Pizza_824.png
825,"La Nawab",la-nawab-v2-825,a57d9ae7-a25b-4ece-9818-1bff25f16632,La_Nawab_825.png
829,"Pizzalicious",pizzalicious-829,e3fd757e-7315-4569-8031-6a6d95eae08c,Pizzalicious_829.png
833,"All Out Burger",all-out-burger-833,059a012b-15ed-41a1-b88d-5ac9dfc3f6a5,All_Out_Burger_833.png
835,"Milano",milano-835,a03c9a8a-82b5-4e3e-87a7-370630dc4a42,Milano_835.png
836,"Souvlaki Souvlaki",souvlaki-souvlaki-836,af63eab9-a93a-4995-9f2e-00df697b2db1,Souvlaki_Souvlaki_836.png
837,"Milano",milano-837,be0ed4b0-e8e3-429e-bc33-7e2c928a9bc8,Milano_837.png
840,"Milano",milano-840,98aae36c-c09f-491f-aeb4-4378efe86fdf,Milano_840.png
841,"All Out Burger",all-out-burger-841,b993a689-1d82-49fc-9063-04dd2aec883c,All_Out_Burger_841.png
842,"Milano",milano-842,de140d94-2941-4623-ae80-c4e7df0da74e,Milano_842.png
845,"Mykonos Greek Grill",mykonos-greek-grill-845,8945445a-ad79-4849-a917-8a2007c62e8d,Mykonos_Greek_Grill_845.png
846,"Mykonos Greek Grill",mykonos-greek-grill-846,08f64f41-7d3f-4300-8496-9d350107dfbb,Mykonos_Greek_Grill_846.png
847,"Sushiyana",sushiyana-847,8196734e-d692-4039-86e0-ee28fa9b551d,Sushiyana_847.png
924,"All Out Burger Bank St.",all-out-burger-bank-st-924,935f1824-59c8-4164-b940-d6a500f3863d,All_Out_Burger_Bank_St_924.png
941,"Ting's Kitchen",tings-kitchen-941,b537df78-c390-437a-8f6a-2112ebc4b468,Tings_Kitchen_941.png
943,"Charm Thai Cuisine",nana-thai-cuisine-943,2b6e1b33-d8ac-48eb-82c3-be6c85c237c2,Charm_Thai_Cuisine_943.png
948,"All Out Burger Gladstone",all-out-burger-gladstone-948,7fbac859-bbd6-443f-8563-eab544ec57c2,All_Out_Burger_Gladstone_948.png
949,"All Out Burger Montreal Rd",all-out-burger-montreal-rd-949,be4b8570-76c7-4136-b5b6-f0b5b5f79e70,All_Out_Burger_Montreal_Rd_949.png
950,"Kirkwood Pizza",kirkwood-pizza-950,d219903c-6594-4414-9a21-5f7fa66aaa9e,Kirkwood_Pizza_950.png
952,"River Pizza",river-pizza-952,9d7b674a-d9de-4473-8df6-7f205c4244cd,River_Pizza_952.png
954,"Wandee Thai",wandee-thai-954,0e6282f0-d834-4dd7-90bb-56ac6d53f1a1,Wandee_Thai_954.png
957,"Cosenza",cosenza-957,bb546367-4a9a-478d-9acb-d2ba7f3d7447,Cosenza_957.png
960,"Cuisine Bombay Indienne",cuisine-bombay-indienne-960,872ef779-429f-4fa7-970e-29fe0dd771ae,Cuisine_Bombay_Indienne_960.png
961,"Chicco Shawarma Cantley",chicco-shawarma-cantley-961,72589832-5abd-4881-9eee-2e310cc23289,Chicco_Shawarma_Cantley_961.png
963,"Chicco Pizza Shawarma Anger",chicco-pizza-shawarma-anger-963,883ad3c0-98fd-4eaf-8441-8d751c248d97,Chicco_Pizza_Shawarma_Anger_963.png
964,"Chicco Pizza Maloney",chicco-pizza-maloney-964,e3fbafe8-7636-47e8-a61b-1bfb8a9214ff,Chicco_Pizza_Maloney_964.png
965,"Chicco Shawarma Maloney",chicco-shawarma-maloney-965,738c54ef-77a6-42d9-87de-f3bf98e028c0,Chicco_Shawarma_Maloney_965.png
966,"Chicco Pizza de l�Hopital",chicco-pizza-de-lhopital-966,26130b3c-63bb-41a2-ba64-f0c867cdc30d,Chicco_Pizza_de_lHopital_966.png
967,"Chicco Pizza St-Louis",chicco-pizza-st-louis-967,625e8c63-c6f9-46ca-afd6-74ad562f3d17,Chicco_Pizza_St-Louis_967.png
971,"Little Gyros Greek Grill",little-gyros-greek-grill-971,e5b3b7b3-efe2-4c04-8768-0a4bc2d49bb9,Little_Gyros_Greek_Grill_971.png
